"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Ehire Adrianza","Giants","103","362","323","71","15","3","2","37","24","27","78","3","8","4",".220",".285",".303",".588",".265","4.0","-0.2","0.5","8418"
"Chris Getz","Blue Jays","66","231","210","51","7","1","1","24","15","13","27","1","11","3",".243",".289",".300",".589",".264","0.0","0.9","0.0","3388"
"Ryan Goins","Blue Jays","151","580","539","127","25","3","5","49","48","26","120","1","4","5",".236",".271",".321",".592",".264","5.0","-1.5","0.0","9807"
"Andy Parrino","Athletics","122","471","428","91","19","2","5","44","37","35","119","5","4","1",".213",".279",".301",".580",".262","3.0","0.0","0.7","3972"
"Leury Garcia","White Sox","103","320","298","70","9","3","3","31","19","15","88","1","21","5",".235",".273",".315",".588",".262","6.0","2.1","0.6","5913"
"Mark Ellis","Cardinals","88","293","264","61","9","1","2","27","27","16","52","6","4","1",".231",".287",".295",".583",".262","6.0","0.2","0.5","1443"
"Alexi Casilla","Orioles","76","241","223","52","10","1","1","26","17","13","38","1","10","2",".233",".276",".300",".577",".259","0.0","1.0","0.1","5248"
"Elliot Johnson","Indians","102","323","294","62","10","3","4","31","25","22","88","1","11","3",".211",".266",".306",".573",".258","1.0","0.8","0.1","4751"
"Angel Sanchez","White Sox","69","246","227","53","7","1","2","24","19","13","33","1","1","1",".233",".276",".300",".575",".257","-2.0","-0.4","-0.3","3492"
"Robert Andino","Mariners","114","433","402","90","16","1","5","41","33","23","90","1","4","3",".224",".266",".306",".572",".256","2.0","-0.7","-0.3","4900"
"Nick Noonan","Giants","118","440","410","89","16","1","4","42","33","24","116","2","4","3",".217",".263",".290",".553",".248","3.0","-0.7","-0.2","6880"
"Guilder Rodriguez","Rangers","98","392","358","82","7","1","0","33","19","27","61","0","10","7",".229",".282",".254",".537",".247","-1.0","-1.0","-0.8","3412"
"Josh Wilson","Rangers","103","342","320","67","12","1","3","30","26","14","93","4","2","2",".209",".250",".281",".531",".240","0.0","-0.6","-0.6","2102"
